2024-05-22 10:05:16,012 INFO    MainThread:712826 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_setup.py:_flush():76] Configure stats pid to 712826
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_setup.py:_flush():76] Loading settings from /home/Corey.Potvin/.config/wandb/settings
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_setup.py:_flush():76] Loading settings from /home/Corey.Potvin/frdd-wofs-cast/training_pipeline/train_model/wandb/settings
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'training_pipeline/train_model/train_wofscast.py', 'program_abspath': '/home/Corey.Potvin/frdd-wofs-cast/training_pipeline/train_model/train_wofscast.py', 'program': '/home/Corey.Potvin/frdd-wofs-cast/training_pipeline/train_model/train_wofscast.py'}
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_init.py:_log_setup():520] Logging user logs to /home/Corey.Potvin/frdd-wofs-cast/training_pipeline/train_model/wandb/run-20240522_100515-bh7ic8i4/logs/debug.log
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_init.py:_log_setup():521] Logging internal logs to /home/Corey.Potvin/frdd-wofs-cast/training_pipeline/train_model/wandb/run-20240522_100515-bh7ic8i4/logs/debug-internal.log
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_init.py:init():560] calling init triggers
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_init.py:init():610] starting backend
2024-05-22 10:05:16,013 INFO    MainThread:712826 [wandb_init.py:init():614] setting up manager
2024-05-22 10:05:16,014 INFO    MainThread:712826 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-22 10:05:16,015 INFO    MainThread:712826 [wandb_init.py:init():622] backend started and connected
2024-05-22 10:05:16,016 INFO    MainThread:712826 [wandb_init.py:init():711] updated telemetry
2024-05-22 10:05:16,034 INFO    MainThread:712826 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-22 10:05:16,426 INFO    MainThread:712826 [wandb_run.py:_on_init():2396] communicating current version
2024-05-22 10:05:16,620 INFO    MainThread:712826 [wandb_run.py:_on_init():2405] got version response 
2024-05-22 10:05:16,621 INFO    MainThread:712826 [wandb_init.py:init():795] starting run threads in backend
2024-05-22 10:05:25,631 INFO    MainThread:712826 [wandb_run.py:_console_start():2374] atexit reg
2024-05-22 10:05:25,632 INFO    MainThread:712826 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-22 10:05:25,632 INFO    MainThread:712826 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-22 10:05:25,632 INFO    MainThread:712826 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-22 10:05:25,633 INFO    MainThread:712826 [wandb_init.py:init():838] run started, returning control to user process
2024-05-22 10:05:34,344 WARNING MsgRouterThr:712826 [router.py:message_loop():77] message_loop has been closed
